google.com,64,4.293,4.444,5.393,0.245,29 Jan 2018 21:51:04
google.com,128,4.345,4.481,5.274,0.194,29 Jan 2018 21:51:33
google.com,256,4.446,4.508,4.622,0.092,29 Jan 2018 21:51:53
google.com,512,4.609,4.680,4.760,0.084,29 Jan 2018 21:52:12
google.com,1024,4.908,4.974,5.107,0.064,29 Jan 2018 21:52:32
github.com,64,17.868,18.380,18.963,0.207,29 Jan 2018 21:53:32
github.com,128,18.588,18.692,18.749,0.192,29 Jan 2018 21:53:52
github.com,256,19.382,19.607,21.120,0.396,29 Jan 2018 21:54:11
github.com,512,20.817,21.020,21.993,0.291,29 Jan 2018 21:54:31
github.com,1024,23.840,24.045,25.863,0.469,29 Jan 2018 21:54:51
github.com,2048,29.453,29.640,29.819,0.186,29 Jan 2018 21:55:11
bitbucket.org,64,11.999,12.140,12.482,0.184,29 Jan 2018 21:55:41
bitbucket.org,128,11.983,12.142,12.379,0.173,29 Jan 2018 21:56:01
bitbucket.org,256,12.164,12.307,12.926,0.220,29 Jan 2018 21:56:29
bitbucket.org,512,12.092,12.178,12.410,0.161,29 Jan 2018 21:57:01
bitbucket.org,1024,13.090,13.167,13.287,0.060,29 Jan 2018 21:57:21
slack.com,64,5.643,5.769,6.347,0.173,29 Jan 2018 21:58:36
slack.com,128,5.723,5.759,5.882,0.102,29 Jan 2018 21:58:55
slack.com,256,5.895,6.037,6.607,0.183,29 Jan 2018 21:59:15
slack.com,512,6.205,6.362,6.743,0.147,29 Jan 2018 21:59:35
slack.com,1024,6.849,7.000,7.163,0.103,29 Jan 2018 21:59:55
slack.com,2048,7.480,7.564,7.720,0.061,29 Jan 2018 22:00:15
stackexchange.com,64,4.815,4.871,4.932,0.099,29 Jan 2018 22:00:45
stackexchange.com,128,4.863,5.014,5.626,0.166,29 Jan 2018 22:01:05
stackexchange.com,256,4.300,4.490,5.237,0.286,29 Jan 2018 22:01:25
stackexchange.com,512,4.584,4.711,5.397,0.217,29 Jan 2018 22:01:46
stackexchange.com,1024,5.161,5.277,5.384,0.063,29 Jan 2018 22:02:06
stackexchange.com,2048,5.769,5.848,5.944,0.093,29 Jan 2018 22:02:25
